id	Taxa	level	taxon	score	topscore	% ident	cov	full	votesfor	votestotal	newOrder	mismatches
4533	S000536517	Clostridium alkalicellum	SPECIES	Clostridium alkalicellulosi	2952	2952	100	1	Bacteria::Firmicutes:Clostridia:Clostridiales:Clostridiaceae:Clostridium:Clostridium alkalicellulosi	1	1	10	MISMATCH_SPECIES
4610	S000540395	Pseudomonas stutzeri	SPECIES	Pseudomonas chloritidismutans	2969	2969	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Pseudomonadales:Pseudomonadaceae:Pseudomonas:Pseudomonas chloritidismutans	1	1	10	MISMATCH_SPECIES
4615	S000540524	Eggerthella hongkongensis	SPECIES	Paraeggerthella hongkongensis	2829	2829	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Coriobacteriales:Coriobacteriaceae:Paraeggerthella:Paraeggerthella hongkongensis	1	1	10	MISMATCH_SPECIES
4625	S000540599	Bacillus mojavensis	SPECIES	Bacillus malacitensis	2815	2815	100	1	Bacteria::Firmicutes:Bacilli:Bacillales:Bacillaceae:Bacillus:Bacillus malacitensis	1	1	10	MISMATCH_SPECIES
4626	S000540600	Bacillus mojavensis	SPECIES	Bacillus axarquiensis	2989	2989	100	1	Bacteria::Firmicutes:Bacilli:Bacillales:Bacillaceae:Bacillus:Bacillus axarquiensis	1	1	10	MISMATCH_SPECIES
4649	S000541626	Donghaeana dokdonensis	SPECIES	Persicivirga dokdonensis	2936	2936	100	1	Bacteria::Bacteroidetes:Flavobacteria:Flavobacteriales:Flavobacteriaceae:Persicivirga:Persicivirga dokdonensis	1	1	10	MISMATCH_SPECIES
4653	S000541807	marine firmicute	SPECIES	Oceanobacillus iheyensis	3023	3023	100	1	Bacteria::Firmicutes:Bacilli:Bacillales:Bacillaceae:Oceanobacillus:Oceanobacillus iheyensis	1	1	10	MISMATCH_SPECIES
4680	S000543982	Neisseria sp.	SPECIES	Kingella potus	2829	2829	100	1	Bacteria::Proteobacteria:Betaproteobacteria:Neisseriales:Neisseriaceae:Kingella:Kingella potus	1	1	10	MISMATCH_SPECIES
4707	S000544217	Streptomyces mashuensis	SPECIES	Streptomyces kishiwadensis	2892	2892	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Streptomycetaceae:Streptomyces:Streptomyces kishiwadensis	1	1	10	MISMATCH_SPECIES
4713	S000544225	Streptomyces lilacinus	SPECIES	Streptomyces kashimirensis	2841	2841	99.25	0.992547425474255	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Streptomycetaceae:Streptomyces:Streptomyces kashimirensis	1	1	10	MISMATCH_SPECIES
4715	S000544227	Streptomyces abikoensis	SPECIES	Streptomyces parvisporogenes	2922	2922	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Streptomycetaceae:Streptomyces:Streptomyces parvisporogenes	1	1	10	MISMATCH_SPECIES
4736	S000544255	Streptomyces spinoverrucosus	SPECIES	Streptomyces purpurascens	2789	2789	98.38	1.00135409614083	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Streptomycetaceae:Streptomyces:Streptomyces purpurascens	1	1	10	MISMATCH_SPECIES
4738	S000544257	Streptomyces cinnamoneus	SPECIES	Streptomyces sapporonensis	2926	2926	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Streptomycetaceae:Streptomyces:Streptomyces sapporonensis	1	1	10	MISMATCH_SPECIES
4825	S000570539	Streptomyces olivoverticillatus	SPECIES	Streptomyces viridiflavus	2922	2922	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Streptomycetaceae:Streptomyces:Streptomyces viridiflavus	1	1	10	MISMATCH_SPECIES
4832	S000571530	Exiguobacterium sp.	SPECIES	Exiguobacterium mexicanum	2791	2791	100	1	Bacteria::Firmicutes:Bacilli:Bacillales::Exiguobacterium:Exiguobacterium mexicanum	1	1	10	MISMATCH_SPECIES
4873	S000576723	Dyella koreensis	SPECIES	Dyella soli	2946	2946	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Xanthomonadales:Xanthomonadaceae:Dyella:Dyella soli	1	1	10	MISMATCH_SPECIES
4926	S000603879	Pseudoxanthomonas dokdonensis	SPECIES	Stenotrophomonas dokdonensis	2973	2973	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Xanthomonadales:Xanthomonadaceae:Stenotrophomonas:Stenotrophomonas dokdonensis	1	1	10	MISMATCH_SPECIES
5018	S000631791	Mycobacterium phocaicum	SPECIES	Mycobacterium mucogenicum	2938	2938	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Mycobacteriaceae:Mycobacterium:Mycobacterium mucogenicum	4	5	10	MISMATCH_SPECIES
5071	S000701177	Sinorhizobium americanum	SPECIES	Sinorhizobium fredii	2849	2849	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhizobiales:Rhizobiaceae:Sinorhizobium:Sinorhizobium fredii	2	3	10	MISMATCH_SPECIES
5086	S000735276	Lactobacillus amylovorus	SPECIES	Lactobacillus sobrius	3102	3102	100	1	Bacteria::Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus:Lactobacillus sobrius	1	1	10	MISMATCH_SPECIES
5119	S000979021	Ensifer kummerowiae	SPECIES	Sinorhizobium kummerowiae	2720	2720	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhizobiales:Rhizobiaceae:Sinorhizobium:Sinorhizobium kummerowiae	1	1	10	MISMATCH_SPECIES
